pkt_size,duration,seq,ack,label
1572,2.77,62310,45088,1
1187,2.34,4586,1226,0
1572,6.42,41593,54447,1
505,1.24,7212,5946,0
1302,4.12,72661,97247,1
862,3.05,8093,4482,0
1593,2.68,89602,14693,1
621,1.56,3298,6196,0
1499,2.64,22669,17693,1
338,4.94,9227,1966,0
1280,5.03,63368,52818,1
797,4.64,7784,3549,0
1163,3.32,10282,47465,1
433,3.29,2166,8262,0
1401,4.68,78878,88086,1
832,2.93,9513,3313,0
1316,7.37,19278,39033,1
520,2.4,5776,1292,0
1185,7.07,50781,66424,1
699,4.81,6292,7455,0
1092,4.37,76144,94132,1
912,4.5,2657,8085,0
1460,5.09,82115,34616,1
753,1.35,2272,3892,0
1493,4.75,36168,17851,1
979,4.41,9552,3284,0
1325,5.07,71967,37315,1
206,4.9,3123,2805,0
1062,6.25,93219,55595,1
1288,1.3,1953,1883,0
1195,4.56,89914,93927,1
1201,3.84,7320,4092,0
1522,3.3,97628,54246,1
1005,2.4,1649,9324,0
1539,7.42,37192,24605,1
869,3.7,4160,2852,0
1099,5.09,86118,88964,1
215,1.73,4999,4339,0
1385,3.73,78539,68955,1
571,3.81,1935,6295,0
1436,4.57,59296,42366,1
353,3.78,6118,6416,0
1502,5.35,72599,78747,1
492,2.34,5187,1257,0
1465,3.48,63658,10391,1
515,4.53,2831,5093,0
1492,4.99,19056,59531,1
934,0.37,9453,9645,0
1427,4.39,55436,88097,1
479,0.73,7788,2373,0
1189,6.29,35776,80992,1
767,4.68,6427,7154,0
1176,3.7,90549,49292,1
1052,1.44,9491,3838,0
1457,4.25,77497,33609,1
796,1.0,9920,2350,0
1112,7.3,41222,42712,1
548,4.22,8360,9212,0
1157,2.77,97232,96852,1
861,0.67,4945,7308,0
1539,4.7,67952,16150,1
610,4.33,4833,3686,0
1342,7.07,62002,95908,1
1079,2.21,8154,8529,0
1003,4.3,10250,43507,1
1042,3.34,7008,4036,0
1188,7.33,32881,37900,1
1175,2.23,3262,3715,0
1187,7.16,19533,81703,1
927,2.36,1162,2204,0
1520,7.63,58594,93674,1
678,0.91,5210,9650,0
1065,7.89,50202,51406,1
541,2.27,8924,8724,0
1091,7.66,16254,17383,1
330,2.02,7215,3615,0
1589,7.06,47903,29702,1
436,4.21,6217,8098,0
1425,6.74,94359,13947,1
237,4.68,2206,6752,0
1425,7.98,82995,60738,1
937,4.74,8346,5348,0
1365,5.23,45677,85113,1
1020,0.38,5061,5909,0
1465,6.26,11578,28895,1
1298,2.24,2909,9431,0
1284,2.89,98195,13918,1
384,1.39,7832,6096,0
1459,3.13,66705,52874,1
1127,1.76,8614,3646,0
1299,5.05,43098,42878,1
667,3.14,3323,2826,0
1493,6.61,15332,82880,1
495,1.98,4704,5192,0
1347,4.02,78215,26232,1
1357,4.01,7650,4454,0
1432,4.78,11959,85464,1
1275,4.39,7233,3326,0
1345,6.87,65894,35012,1
1356,1.0,7065,9444,0
1170,5.6,90636,96482,1
264,4.1,2743,9795,0
1205,3.46,40550,86777,1
941,2.75,1176,5238,0
1176,5.46,11931,49847,1
279,4.01,2570,1691,0
1037,5.3,66117,51424,1
480,4.11,9937,6048,0
1468,3.01,86485,46611,1
270,1.57,3457,9048,0
1068,4.22,59453,89605,1
582,1.68,6123,6710,0
1480,6.77,97704,38476,1
299,3.94,6746,4726,0
1558,3.19,97858,32668,1
398,0.38,9721,1601,0
1209,7.14,50424,94676,1
1020,2.78,3383,1299,0
1229,4.25,92811,29757,1
716,1.18,4653,7716,0
1139,4.33,22363,27402,1
797,3.32,7385,6993,0
1045,7.26,98079,20982,1
1077,0.92,8075,3946,0
1476,7.39,56159,66762,1
819,1.13,7206,4533,0
1229,7.94,77311,19480,1
346,1.18,9488,1407,0
1473,5.27,34069,88719,1
836,2.18,4709,6149,0
1222,7.96,70233,36260,1
410,2.35,5079,6648,0
1029,6.8,19572,65401,1
1187,2.71,1553,1808,0
1318,7.86,77040,46958,1
1102,4.86,8191,7842,0
1523,7.28,64539,32804,1
1182,1.39,1810,4250,0
1412,5.08,29253,99369,1
297,3.28,7155,7248,0
1304,2.59,52266,18842,1
843,1.25,9318,3538,0
1365,2.6,45091,78668,1
441,0.41,8057,9672,0
1419,3.82,81819,42726,1
539,3.83,8201,7559,0
1083,7.82,87393,88976,1
986,1.37,8180,4627,0
1501,6.79,70564,68065,1
1361,2.91,3310,3095,0
1095,3.43,79374,73595,1
938,3.54,2134,8902,0
1398,5.44,21405,25984,1
926,2.84,7414,3767,0
1387,2.83,39065,97914,1
1333,3.51,7415,1075,0
1126,4.84,95655,61537,1
1115,4.82,8897,6521,0
1123,6.89,74991,74526,1
1396,1.97,9657,5983,0
1563,4.81,36710,59705,1
660,2.54,9758,5257,0
1415,6.28,66616,35755,1
342,1.55,3386,4313,0
1495,4.0,29996,22611,1
1145,0.43,7272,6190,0
1431,7.87,58571,92131,1
703,2.06,6534,9646,0
1237,5.31,31462,42648,1
986,0.56,6177,9493,0
1543,6.37,57998,87455,1
650,1.68,3606,3125,0
1004,7.93,78070,26122,1
1066,2.36,2394,6516,0
1099,7.63,12766,13854,1
1207,4.33,5926,3784,0
1368,3.21,16221,34178,1
1294,3.25,5825,9291,0
1219,7.18,33258,12955,1
659,1.68,5312,9973,0
1386,3.27,77719,92945,1
850,3.96,5105,8315,0
1085,4.06,77029,11515,1
1220,4.42,6458,5536,0
1431,6.33,70400,88836,1
353,3.29,2722,3579,0
1073,4.66,40324,83514,1
1222,3.8,2700,2510,0
1155,3.47,65264,49040,1
562,2.41,8563,8573,0
1154,4.17,36816,25783,1
387,2.34,9272,1068,0
1340,4.85,62372,96569,1
561,4.23,7955,9166,0
1118,7.83,69691,64656,1
852,1.28,7712,3304,0
1020,6.25,10350,74833,1
1168,0.93,5473,3208,0
1076,3.51,89172,30579,1
262,1.14,8283,9746,0
1501,5.51,43479,82099,1
1104,2.65,2507,7119,0
1471,5.94,60167,16151,1
652,1.54,3582,6254,0
1258,4.16,63574,26013,1
1207,1.0,2350,8949,0
1073,2.72,79386,39825,1
340,2.58,2662,4813,0
1474,3.22,80179,49865,1
209,4.07,1251,1836,0
1077,3.2,46780,48072,1
996,1.8,8491,4717,0
1063,2.76,57308,30784,1
255,2.32,6684,2004,0
1072,3.78,55027,64984,1
323,0.89,3705,7503,0
1152,5.36,97696,88053,1
354,4.91,1948,5383,0
1016,7.67,78709,66758,1
755,2.23,3066,6356,0
1459,3.72,89677,32032,1
209,3.12,3368,8244,0
1021,3.88,66632,66693,1
827,0.97,1320,9986,0
1102,3.2,72152,24162,1
472,3.4,2433,2008,0
1172,4.2,92321,28414,1
1374,0.45,4224,2954,0
1272,3.31,72342,90565,1
768,3.05,7965,3388,0
1188,7.96,44783,57696,1
987,3.47,5381,3854,0
1583,5.19,56118,11413,1
1229,0.96,4982,4166,0
1189,4.91,97853,25292,1
442,2.31,3470,9594,0
1445,5.73,17092,21972,1
1362,2.63,6750,8668,0
1184,2.51,42164,94541,1
807,1.68,9891,1116,0
1356,4.02,99746,60737,1
1360,0.77,1803,5790,0
1069,2.72,20582,96198,1
201,1.54,4388,7870,0
1171,4.38,22240,30732,1
1366,0.38,9518,3936,0
1177,5.39,81375,19017,1
1395,3.78,9112,5322,0
1144,4.9,55927,91840,1
947,0.37,6066,1454,0
1191,4.94,15304,42455,1
1302,3.3,4478,7222,0
1351,5.44,36545,83596,1
578,3.39,4189,8026,0
1471,4.17,81902,75842,1
899,4.19,2530,8759,0
1571,5.37,20570,29392,1
934,3.05,7688,1983,0
1374,4.38,57478,68911,1
866,1.91,3426,7213,0
1324,7.89,97945,63527,1
972,4.8,8090,9370,0
1539,5.92,90522,27128,1
529,4.69,9097,3223,0
1487,6.98,85097,60882,1
214,0.47,7013,9377,0
1470,3.1,76603,23596,1
652,0.72,2436,7768,0
1434,3.03,79878,63041,1
1077,4.98,8973,7566,0
1291,3.65,41365,79846,1
1319,2.63,4221,1326,0
1074,7.78,53141,11833,1
1223,2.39,5935,2328,0
1042,7.99,80285,37715,1
556,3.76,6356,1325,0
1071,4.56,93951,91689,1
618,0.82,3800,4574,0
1289,3.41,94617,56165,1
899,3.4,1207,2055,0
1254,7.71,30283,52374,1
258,2.13,1204,1204,0
1138,6.93,47966,40052,1
509,3.82,3224,4116,0
1259,6.71,16426,92528,1
764,3.28,2349,2087,0
1254,2.81,92525,85658,1
1389,3.32,6713,1044,0
1256,3.9,18545,57261,1
659,2.41,3767,2437,0
1106,6.78,94821,26690,1
1092,4.2,6059,1772,0
1148,7.74,27882,11996,1
629,4.86,1912,7820,0
1123,3.42,47486,36622,1
1055,4.17,5571,4728,0
1465,3.71,72424,97282,1
591,4.68,9829,4574,0
1084,5.35,31674,41219,1
686,2.6,9406,7454,0
1451,6.1,28470,83251,1
668,2.92,3939,9156,0
1105,4.2,31849,52181,1
761,3.68,5751,4177,0
1563,4.57,56788,63032,1
221,3.72,6460,9695,0
1505,3.42,22290,43682,1
838,2.84,8257,1955,0
1379,7.43,49981,53066,1
612,4.35,4923,7063,0
1571,7.07,79492,13782,1
1092,4.0,2742,4522,0
1555,4.36,15245,77194,1
1122,3.48,3108,6440,0
1556,5.85,80078,97417,1
982,2.03,7550,8847,0
1137,6.66,69483,46129,1
464,0.99,9235,2648,0
1354,4.52,72069,47110,1
1253,4.75,6544,6046,0
1297,5.98,83276,45805,1
1027,4.01,1722,5741,0
1389,5.14,15844,24455,1
1004,1.9,4462,3740,0
1090,2.87,20898,40603,1
886,2.2,8283,1388,0
1567,7.07,86331,16076,1
1266,2.11,7763,1332,0
1425,5.15,97664,66916,1
664,3.88,9768,3531,0
1384,5.97,91797,39769,1
1282,4.82,9094,6807,0
1281,5.73,18200,15007,1
941,3.18,7956,2856,0
1502,7.69,19837,34810,1
1043,4.42,5890,9562,0
1570,2.54,51557,23925,1
728,2.49,7763,8281,0
1216,7.83,56115,27077,1
803,1.88,1212,5031,0
1208,4.29,24509,94984,1
515,2.18,8732,6647,0
1060,2.52,41944,89028,1
1390,4.41,6192,6614,0
1090,5.89,70955,29878,1
895,3.17,7390,1134,0
1531,6.4,34038,94838,1
269,4.97,8763,8129,0
1291,4.23,69373,78948,1
217,4.92,4217,3580,0
1385,3.07,41333,17549,1
1379,1.83,9782,6520,0
1334,4.16,81052,52450,1
1034,3.63,9592,9634,0
1029,4.68,12223,72898,1
904,2.78,8391,9193,0
1056,3.95,73314,30122,1
1191,4.92,8532,4022,0
1148,7.49,23799,15203,1
612,2.21,1209,2632,0
1551,3.34,74378,91205,1
285,3.6,9910,2825,0
1444,3.41,83762,38643,1
879,2.45,5747,7947,0
1367,4.82,79493,99645,1
1182,3.69,2563,7312,0
1339,7.6,13653,74704,1
1321,0.34,7897,3281,0
1135,4.85,93787,50115,1
750,1.62,3174,9325,0
1296,7.01,82940,50269,1
1256,3.96,6269,4293,0
1432,3.46,80613,10087,1
257,2.16,7650,6446,0
1507,7.17,17858,10658,1
591,0.81,6768,2437,0
1106,4.63,81448,48037,1
525,3.72,6633,4847,0
1119,6.86,93133,97050,1
845,0.57,6732,8966,0
1063,7.57,91411,82189,1
1268,3.69,9695,5498,0
1591,5.04,28640,38214,1
568,2.51,5476,1152,0
1461,3.27,42992,26699,1
790,4.97,6982,1361,0
1271,4.58,83649,68581,1
1164,1.29,6428,1010,0
1580,3.14,78359,79198,1
1060,4.79,5713,2681,0
1258,3.34,36361,91859,1
945,1.54,4060,3670,0
1534,5.69,20184,20498,1
245,0.98,8558,2291,0
1063,6.68,12024,25827,1
744,1.86,6960,6193,0
1423,2.93,68714,33911,1
287,2.63,1673,3524,0
1371,4.25,66052,41005,1
1391,1.06,8769,3084,0
1273,5.43,73711,83146,1
214,4.47,5728,5504,0
1424,7.59,58582,98885,1
896,0.5,1693,5833,0
1560,4.45,37039,19252,1
1266,1.55,6587,6971,0
1014,7.69,87545,96703,1
1134,0.92,8020,5364,0
1115,3.01,89592,78835,1
404,2.69,1135,5608,0
1445,6.61,13983,10044,1
1382,1.43,6880,4082,0
1289,4.12,67869,67504,1
759,3.83,5550,5912,0
1243,3.35,50139,67767,1
1066,3.68,9495,6176,0
1551,7.09,46433,32188,1
481,1.91,6214,2275,0
1474,7.0,91161,23309,1
389,2.76,6232,3617,0
1063,3.45,93811,37230,1
755,4.82,3060,6090,0
1517,5.7,46163,12378,1
901,3.98,8490,9861,0
1430,3.37,50807,79591,1
832,2.75,7794,7567,0
1076,4.9,78500,64758,1
356,1.16,3359,2961,0
1297,4.2,35707,86289,1
256,0.73,9087,9153,0
1275,7.52,25750,76190,1
707,2.59,8354,1454,0
1301,3.89,10886,67926,1
524,2.37,9800,2936,0
1017,5.37,17076,99944,1
1251,1.67,1083,4229,0
1436,7.66,13934,85083,1
550,2.34,7417,1320,0
1008,5.56,28152,26960,1
728,1.09,6429,1246,0
1544,4.69,29195,82992,1
915,4.03,7322,9785,0
1317,5.66,83361,66253,1
695,2.81,3312,4065,0
1076,5.62,10866,53477,1
343,4.55,8002,9269,0
1503,6.38,57124,55849,1
1084,4.94,6865,9170,0
1578,5.07,16843,33389,1
405,1.71,2619,4273,0
1434,7.47,51235,54643,1
842,2.31,1363,6656,0
1166,5.83,42704,36924,1
470,3.29,3569,4461,0
1213,4.38,17359,86339,1
934,0.44,1251,2285,0
1597,5.39,58882,81168,1
239,2.52,5926,7179,0
1418,5.76,31017,30000,1
694,0.96,7083,9244,0
1119,7.12,24269,18626,1
208,1.88,5750,9269,0
1421,4.93,14791,84522,1
1339,3.04,5416,4274,0
1261,5.93,97136,15476,1
1219,1.86,3527,6859,0
1549,7.28,84134,70221,1
285,1.59,5941,3156,0
1512,2.95,15931,22257,1
766,4.32,9137,8775,0
1496,3.39,31615,23639,1
1347,2.45,9604,8514,0
1027,6.66,67993,10312,1
612,2.25,6633,3593,0
1592,2.54,36071,46946,1
1075,4.97,8673,3645,0
1024,5.47,18134,45791,1
387,2.03,8011,5503,0
1136,5.55,25620,49200,1
1349,3.27,8521,5359,0
1166,5.62,54502,76630,1
1031,1.68,4565,2362,0
1083,4.65,20844,38495,1
727,2.96,9149,4269,0
1471,5.47,73465,56911,1
1347,4.02,4283,4957,0
1216,7.08,14357,14461,1
713,1.72,4253,8014,0
1134,4.26,49540,27868,1
693,2.55,2689,5478,0
1025,5.33,46521,25858,1
657,1.57,9846,7745,0
1119,2.93,29302,71433,1
1006,4.64,5098,4785,0
1502,4.56,88642,36642,1
1279,3.72,7795,9076,0
1582,2.5,18911,86786,1
390,3.83,7566,8963,0
1203,2.55,31196,42814,1
232,4.01,9519,8101,0
1365,6.25,27337,76131,1
925,4.77,4569,8682,0
1518,7.73,44175,38660,1
1281,2.41,7889,2800,0
1457,7.49,37256,38222,1
1133,1.44,6526,6013,0
1099,6.71,34547,50233,1
1215,4.22,2211,2566,0
1447,3.44,43293,15234,1
266,4.63,3249,9781,0
1515,4.18,75847,89208,1
720,4.89,7759,9857,0
1072,4.1,50611,42134,1
984,3.81,4927,5930,0
1372,6.02,18943,41972,1
1368,4.7,6888,4722,0
1507,3.16,15340,69100,1
683,2.19,5782,4722,0
1181,3.1,13928,69895,1
1230,1.49,6473,3847,0
1260,3.44,37120,75843,1
714,4.66,5399,5477,0
1546,6.16,68999,42122,1
